Timestamp,Destination Port,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Max Packet Length,Min Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Avg Bwd Segment Size,Average Packet Size
1739585363.7117465,67,332,135.82051282051282,102.1157423285413,332,332,135.82051282051282,102.1157423285413,10427.624831309042,332,332
1739585363.7148118,68,590,135.82051282051282,102.1157423285413,590,590,135.82051282051282,102.1157423285413,10427.624831309042,590,590
1739585368.2269053,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585368.9877741,0,42,135.82051282051282,102.1157423285413,42,42,135.82051282051282,102.1157423285413,10427.624831309042,42,42
1739585368.9886403,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585384.6309006,138,243,135.82051282051282,102.1157423285413,243,243,135.82051282051282,102.1157423285413,10427.624831309042,243,243
1739585396.0408936,5353,87,135.82051282051282,102.1157423285413,87,87,135.82051282051282,102.1157423285413,10427.624831309042,87,87
1739585396.0427501,5353,107,135.82051282051282,102.1157423285413,107,107,135.82051282051282,102.1157423285413,10427.624831309042,107,107
1739585396.3297393,1900,167,135.82051282051282,102.1157423285413,167,167,135.82051282051282,102.1157423285413,10427.624831309042,167,167
1739585438.7277982,1900,212,135.82051282051282,102.1157423285413,212,212,135.82051282051282,102.1157423285413,10427.624831309042,212,212
1739585439.7287445,1900,212,135.82051282051282,102.1157423285413,212,212,135.82051282051282,102.1157423285413,10427.624831309042,212,212
1739585440.7297595,1900,212,135.82051282051282,102.1157423285413,212,212,135.82051282051282,102.1157423285413,10427.624831309042,212,212
1739585441.7298787,1900,212,135.82051282051282,102.1157423285413,212,212,135.82051282051282,102.1157423285413,10427.624831309042,212,212
1739585516.0436182,5353,87,135.82051282051282,102.1157423285413,87,87,135.82051282051282,102.1157423285413,10427.624831309042,87,87
1739585516.04553,5353,107,135.82051282051282,102.1157423285413,107,107,135.82051282051282,102.1157423285413,10427.624831309042,107,107
1739585516.3325474,1900,167,135.82051282051282,102.1157423285413,167,167,135.82051282051282,102.1157423285413,10427.624831309042,167,167
1739585558.7277489,1900,212,135.82051282051282,102.1157423285413,212,212,135.82051282051282,102.1157423285413,10427.624831309042,212,212
1739585559.7287815,1900,212,135.82051282051282,102.1157423285413,212,212,135.82051282051282,102.1157423285413,10427.624831309042,212,212
1739585560.729563,1900,212,135.82051282051282,102.1157423285413,212,212,135.82051282051282,102.1157423285413,10427.624831309042,212,212
1739585561.7300704,1900,212,135.82051282051282,102.1157423285413,212,212,135.82051282051282,102.1157423285413,10427.624831309042,212,212
1739585569.4870358,0,62,135.82051282051282,102.1157423285413,62,62,135.82051282051282,102.1157423285413,10427.624831309042,62,62
1739585571.8909037,0,90,135.82051282051282,102.1157423285413,90,90,135.82051282051282,102.1157423285413,10427.624831309042,90,90
1739585571.8909042,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585571.911746,0,90,135.82051282051282,102.1157423285413,90,90,135.82051282051282,102.1157423285413,10427.624831309042,90,90
1739585571.9117463,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585571.9247353,0,90,135.82051282051282,102.1157423285413,90,90,135.82051282051282,102.1157423285413,10427.624831309042,90,90
1739585571.9247358,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585571.9666865,0,90,135.82051282051282,102.1157423285413,90,90,135.82051282051282,102.1157423285413,10427.624831309042,90,90
1739585571.9666867,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585571.9666867,0,90,135.82051282051282,102.1157423285413,90,90,135.82051282051282,102.1157423285413,10427.624831309042,90,90
1739585571.9666867,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585571.9666867,0,90,135.82051282051282,102.1157423285413,90,90,135.82051282051282,102.1157423285413,10427.624831309042,90,90
1739585571.9666867,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585571.966687,5353,81,135.82051282051282,102.1157423285413,81,81,135.82051282051282,102.1157423285413,10427.624831309042,81,81
1739585571.9679317,5353,101,135.82051282051282,102.1157423285413,101,101,135.82051282051282,102.1157423285413,10427.624831309042,101,101
1739585571.9697385,5353,139,135.82051282051282,102.1157423285413,139,139,135.82051282051282,102.1157423285413,10427.624831309042,139,139
1739585571.9710772,5353,119,135.82051282051282,102.1157423285413,119,119,135.82051282051282,102.1157423285413,10427.624831309042,119,119
1739585572.085849,0,60,135.82051282051282,102.1157423285413,60,60,135.82051282051282,102.1157423285413,10427.624831309042,60,60
1739585572.0858493,0,90,135.82051282051282,102.1157423285413,90,90,135.82051282051282,102.1157423285413,10427.624831309042,90,90
